@RELATION Opinion
@ATTRIBUTE Context string
@ATTRIBUTE Label NUMERIC
@DATA

"I ended up watching this whole (very long) movie because I was fascinated by the sheer stupidity and naivity of it. It seems difficult to believe that so many famous people (Anthony Quinn, Lawrence Olivier, John Gielguld, Vittorio de Sica, etc.) would have willingly participated in this farce. But maybe in 1968 people really *were* so naive? The plot seems written by some confused Latin American Marxist priest with an agenda. There is a superpower conflict and the Russians are actually the good guys, with the Communist Party General Secretary being a nice and spiritual man, who, suddenly, after 20 years, sees the light and feels compelled to ease his bad conscience by releasing a prisoner priest from a Siberian gulag. The priest then promptly becomes the Pope by a series of coincidences. We are allowed to see the secret Vatican papal voting process which is portrayed in the most hillariously pious form you can possibly imagine.Meanwhile, the communists in China achieved the usual socialist economic miracle of starving half of their country to death. To solve this minor hiccup on the relentless shining path towards communism they want to start a nuclear war (in order to justly distribute the Western capitalist riches to the poor workers of China).Our good old comrade General Secretary gets a bit worried and calls the Pope just before his coronation to ask him to broker peace. They meet with the Chinese leader comrade Peng who looks and acts like a 15 year old boy. You will roll on the floor laughing about what people in 1968 thought the Chinese looked like. Comrade Peng demands that the Western capitalists must pay (which is quite logical after all, don t capitalists always have to pay for the madness of the socialists?), and that the Pope needs to sacrifice something, too, for the common altruistic cause of equality and social justice.So when the Pope gets crowned in Rome, he pledges the entire wealth of the Catholic church world-wide to feed our poor Chinese brethren in Christ. And thus he saves the world from nuclear holocaust.Apart from this, there are also some minor sub-plots, which, alas, provide little to redeem this incredibly bad movie. I d give it three Oscars for stupidity.By the way, Anthony Quinn looks quite unlikely as a Pope. He is much more plausible as Zorba the Greek.", 1
"Where do I start? Per the title of this film I expected some degree of authenticity, in the end I was severally let down. This is not the story of Lale Andersen or the song Lili Marlene, rather it is a Hollywood (or pick your film making hub) story loosely based on some real life characters. I should have had a clue when I heard a heavy English accent giving the intro to the movie in German; the blood red text (title, artists) should have been the 2nd clue. The story line is contrived (Lale was not tricked out of Switzerland Rolf Liebermann s parents, there is no info that Liebermann helped smuggle Jews from Germany, the original song had been recorded outside of the control of the NS regime not while under control, the record played at the station was picked up in Vienna while a Lt. was there on leave, etc, etc) the costumes are poor and incorrect for the time frames (SS black uniforms used every where from border guards to staff positions, these went away from daily use once the war started, etc), the characters are stereo types (SA bullies in a club once they were essentially out of power). Don t waste your time.", -5
"This is absolutely the dumbest movie I ve ever seen. What a waste of a splendid cast. That s James Cromwell as the ignoramus playing deputy. I could go on and on, but I would obviously be spending more time on this review than anybody ever did on the script. The only thing this movie is about is us vs. them and how to revel in profane slapstick beyond any reasonable human being s tolerance. This is one of the 10 worst movies I have ever seen -- and I LOVE James Garner.", 0
"Bad Movie - saw it at the TIFF and the movie gives me a sense of  been there done that  - it reminds me alot of the movie Blow - expect the Blow was actually interesting.This one story told two ways and both times it is not told that well.", 0
"What I found so curious about this film--I saw the full 4 hour roadshow version, is how oddly dispassionate it is. For a film about 2 very charismatic men--Castro and Che, engaged in a gargantuan political struggle, it s almost totally devoid of emotional fire. The scenes between Benicio Del Toro and Demian Bichir (who is at best a second level actor,with a slightly high pitched voice) have no drama or depth and basically come down to Castro telling Che: go here, go there, do this and that, with no explanation as to what effect or use this action will result in. Odder still is there is an actor in the cast who has the requisite power to play Castro--Joaquim de Almeida, but he s shunted aside in a minor part in the second half. Without the tension or passion that you would expect to fire these men and their followers, the film becomes a dullish epic-length film about hairy, bearded men running through various jungles shouting and shooting to no particular purpose or end. Several of the reviews I ve read showered praise on the work of director Steven Soderbergh while ignoring the actors almost completely. (One in fact spent more time talking about Soderbergh s new digital film camera than the plot or actors or the fact that it s entirely in Spanish with English subtitles.)This is an odd, odd thing to do since a) Soderbergh was only a hired gun on the film and b) it s no more than a competent job of work, with an unremarked upon nod to Oliver Stone s JFK in the black and white cut up camera-work when Che visits New York. If you can imagine Reds directed by Andrew McLaglen instead of Warren Beatty, you d get an idea of the dull competency of this movie.", -1
"The Cat in the Hat is just a slap in the face film. Mike Myers as The Cat in the Hat is downright not funny and Mike Myers could not have been any worse. This is his worst film he has ever been in. The acting and the story was just terrible. I mean how could they make the most beloved stories by Dr. Seuss be made into film and being one of the worst films of all-time and such a disappointment. I couldn t have seen a more worst film than this besides, maybe Baby Geniuses. But this film is just so bad I can t even describe how badly they made this film. Bo Welch should be fired or the writer should.Hedeen s outlook: 0/10 No Stars F", -6
"This is going to be the most useless comment I have ever put down, but yet I must do it to warn you about the atrocity to cinema that 'Freddy s Dead' is. It is not only the very worst chapter of the Nightmare series, but is right up there with the worst horror sequel of all time! It was boring, pointless, and nearly death free. The horrible 3-D ending and over-the-top CORNY kills are enough to drive this 'film' into the ground. However, it doesn t stop there, just add bad acting, a terrible script, and a number of cheesy cameos and you ve got yourself this heaping pile of guano! It s no wonder why Freddy, as always played by Robert Englund, has made two postmortem appearances. I would too if I went out like that. This is a strictly fans only movie, don t stare at our shame.", -6
"I loved Adrianne Curry before this show. I thought she was great on Top Model and was really glad when she won. I also liked Chris Knight, he seems like a great guy. But this show just made me SICK! I m so angry at both of them for what happened on that show. I don t care that they were different ages, I know age can t stand between love. But Adrianne, you had been together for ONLY SEVEN MONTHS. It didn t surprise me at all that he hadn t proposed. And I don t see the appeal of forcing someone to marry you before they re ready. If it s meant to be, then why not just ENJOY each other s company and love each other, and let it come naturally? Turning a wedding ring into a ball and chain was completely unnecessary, it s stupidly obvious that Chris loves you, with or without a ring. And Chris, shame on you for breaking down and proposing to her anyway! You ve been through two failed marriages, how could you rush into another one just because she pitched a fit? I hope the relationship lasts, but I really feel that the marriage was rushed and for all the wrong reasons. Maybe now they can take a breath and find the right reasons to be married from within the marriage.", 4
"I don t really post comments, but wanted to make sure to warn people off this film. It s an unfinished student film with no redeeming features whatsoever. On a technical level, it s completely amateur - constant unintentional jump edits within scenes, dubbing wildly off, etc. The plot is completely clichd, the structure is laughable, and the acting is embarrassing. I don t want to be too harsh: I ve made my share of student films, and they were all awful, but there s no reason for this film to be out in the world where innocent fans will have to see it.Safe assumption that - much like the cast - positive comments are filmmakers, friends, and family.", 1
